Date,PH
10-12-2020,1.6
11-12-2020,1.7
12-12-2020,1.8
13-12-2020,1.9
14-12-2020,2
15-12-2020,2.1
16-12-2020,2.2
17-12-2020,2.3
18-12-2020,2.4
19-12-2020,2.5
2020-12-2020,2.6
21-12-2020,2.7
22-12-2020,2.8
23-12-2020,2.9
24-12-2020,3
25-12-2020,3.1
26-12-2020,3.2
27-12-2020,3.4
28-12-2020,3.5
29-12-2020,3.6
30-12-2020,3.7
31-12-2020,3.8
