AAPL_x,AAPL_y
2020-05-01,82.99289917
2020-05-02,83.04635189
2020-05-05,82.73311868
2020-05-06,84.3659999
2020-05-07,83.449361
2020-05-08,82.92665266
2020-05-09,82.40901903
2020-05-12,82.82714134
2020-05-13,83.46187012
2020-05-14,83.516998
2020-05-15,83.83894399
2020-05-16,82.98805242
2020-05-19,84.28974015
2020-05-20,85.22180467
2020-05-21,85.13035972
2020-05-22,85.51554663
2020-05-23,85.61005813
2020-05-27,86.82546553
2020-05-28,88.25336036
2020-05-29,88.51837168
2020-05-30,89.94207773
2020-06-02,89.37862849
2020-06-03,88.59990714
2020-06-04,89.8695301
2020-06-05,91.09787905
2020-06-06,91.62042691
2020-06-09,91.483127
2020-06-10,93.48368488
2020-06-11,92.89646175
2020-06-12,92.80705602
2020-06-13,90.98790535
2020-06-16,90.30905531
2020-06-17,91.09697763
2020-06-18,91.05881862
2020-06-19,91.07433595
2020-06-20,90.64769552
2020-06-23,90.12358031
2020-06-24,89.55380483
2020-06-25,89.02197543
2020-06-26,89.18693839
2020-06-27,89.62525984
2020-06-30,90.89089637
2020-07-01,92.29
2020-07-02,92.63486842
2020-07-03,92.43474742
2020-07-07,92.90402626
2020-07-08,95.00793917
2020-07-09,94.1893448
2020-07-10,92.52683502
2020-07-11,94.10816215
2020-07-14,94.59776879
2020-07-15,95.53059169
2020-07-16,95.69111732
2020-07-17,93.78457514
2020-07-18,92.39063645
2020-07-21,93.74625186
2020-07-22,93.44052365
2020-07-23,94.16331104
2020-07-24,95.75986808
2020-07-25,95.58074639
2020-07-28,96.53575439
2020-07-29,98.0275432
2020-07-30,97.14618849
2020-07-31,95.87943933
2020-08-01,93.65612192
2020-08-04,95.09971859
2020-08-05,94.10684609
2020-08-06,93.50276432
2020-08-07,94.14628493
2020-08-08,93.48395187
2020-08-11,94.48592562
2020-08-12,95.24942378
2020-08-13,95.3589675
2020-08-14,96.53139487
2020-08-15,97.09066136
2020-08-18,97.67554054
2020-08-19,98.58924699
2020-08-20,99.61107288
2020-08-21,99.74008252
2020-08-22,99.46843762
2020-08-25,100.9479319
2020-08-26,100.5856398
2020-08-27,100.1891295
2020-08-28,100.755422
2020-08-29,102.0170498
2020-09-02,102.2119748
2020-09-03,102.255943
2020-09-04,98.03397371
2020-09-05,97.99139133
2020-09-08,98.48225905
2020-09-09,98.2609899
2020-09-10,97.20457129
2020-09-11,99.58834664
2020-09-12,100.3737183
2020-09-15,101.960247
2020-09-16,98.97872298
2020-09-17,100.4325635
2020-09-18,101.0888447
2020-09-19,101.449066
2020-09-22,100.9639224
2020-09-23,99.77669525
2020-09-24,101.3166152
2020-09-25,99.67815061
2020-09-26,97.71828883
2020-09-29,97.84195885
2020-09-30,99.97950571
2020-10-01,99.75834241
2020-10-02,98.45517117
2020-10-03,98.62148163
2020-10-06,99.12728368
2020-10-07,98.61442228
2020-10-08,97.94679762
2020-10-09,100.7057276
2020-10-10,99.86032959
2020-10-13,100.4975123
2020-10-14,99.56654785
2020-10-15,97.16647324
2020-10-16,94.76582693
2020-10-17,96.70139244
2020-10-20,97.51183641
2020-10-21,102.1754914
2020-10-22,101.991238
2020-10-23,103.2261528
2020-10-24,104.3103307
2020-10-27,103.982152
2020-10-28,104.5310474
2020-10-29,105.7756568
2020-10-30,106.0801645
2020-10-31,107.1199176
2020-11-03,107.3297075
2020-11-04,108.4637716
2020-11-05,108.1980158
2020-11-06,108.1703956
2020-11-07,108.3210256
2020-11-10,108.5892493
2020-11-11,108.2739198
2020-11-12,108.947396
2020-11-13,111.363978
2020-11-14,112.7040594
2020-11-17,113.8188946
2020-11-18,113.4959626
2020-11-19,114.9869783
2020-11-20,114.4555369
2020-11-21,117.0458925
2020-11-24,116.3870522
2020-11-25,118.60425
2020-11-26,117.4741866
2020-11-28,118.7986564
2020-12-01,118.3453741
2020-12-02,113.054436
2020-12-03,115.2907142
2020-12-04,115.318909
2020-12-05,115.5361261
2020-12-08,113.6533452
2020-12-09,109.7554968
2020-12-10,113.9603314
2020-12-11,111.8174772
2020-12-12,110.0271393

